LU_ID,Land-Use,Sub Crop,PerAcreORPerCell,TopographySlopes,StreamBorder,Year,Time of Year,Frequency,Time - Cost Type,Action - Cost Type,Fixed/Variable,Cost Name,# Labor Hours,Value,Context and/ or Calculations ,Description,Citation,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Chisel plow ,,3.6,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Chisel plow ,,3.9,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Tandem disk ,,4.6,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Tandem disk ,,3.4,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Apply nitrogen ,,4.3,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Apply nitrogen ,,4.4,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Field cultivate ,,2.7,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Field cultivate ,,2.7,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Plant ,,5.9,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Plant ,,4.8,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Spray ,,2.2,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Spray ,,2,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Input,Variable,Seed ,,95.8,"$3.19/1000 kernels * 30,000 kernels/acre",,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Input,Variable,Nitrogen ,,70.68,$0.38/lb * 186 lbs/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Input,Variable,Phosphate,,28.56,$0.42/lb * 68 lbs/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Input,Variable,Potash ,,17.05,$0.31/lb * 55 lbs/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Input,Variable,Lime ,,5.71,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Input,Variable,Herbicide,,48.36,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Preharvest,Input,Variable,Insecticide,,15.16,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Constant,Other,Variable,Crop Insurance,,9.5,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Constant,Other,Variable,Miscellaneous,,10,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Harvest,Equipment,Fixed,Combine ,,13.1,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Harvest,Equipment,Variable,Combine,,6.7,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Harvest,Equipment,Fixed,Grain Cart ,,6.3,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Harvest,Equipment,Variable,Grain Cart ,,3,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Harvest,Equipment,Fixed ,Haul ,,7.943936,$0.04/bushel * 182 bushels/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,
